application_id,applicant_name,email,department,project_title,funding_requested,start_date,end_date,institution
ABR-2024-001,Dr. Sarah Chen,sarah.chen@msu.edu,AgBioResearch,Soil Microbiome Analysis for Crop Yield,45000,2024-06-01,2025-05-31,Michigan State University
ABR-2024-002,Dr. James Okafor,j.okafor@msu.edu,Plant Biology,Drought-Resistant Corn Varieties,78500,2024-07-01,2026-06-30,Michigan State University
ABR-2024-004,Dr. Raj Patel,raj.patel@msu.edu,AgBioResearch,Precision Agriculture Sensor Networks,120000,2024-08-01,2027-07-31,Michigan State University
ABR-2024-005,Dr. Maria Lopez,maria.lopez@msu.edu,Animal Science,Livestock Feed Optimization Study,55000,2024-09-01,2025-08-31,Michigan State University
ABR-2024-007,Dr. Priya Nair,priya.nair@msu.edu,AgBioResearch,Genomic Sequencing of Native Plant Species,67000,2024-06-01,2025-05-31,Michigan State University
ABR-2024-010,Dr. Carlos Mendez,carlos.mendez@msu.edu,AgBioResearch,Pesticide Reduction via Biological Controls,38000,2024-11-01,2025-10-31,Michigan State University
ABR-2024-011,Dr. Lisa Park,lisa.park@msu.edu,Soil Science,Carbon Sequestration in Agricultural Soils,72000,2024-06-01,2026-05-31,Michigan State University
ABR-2024-012,Dr. Ahmed Hassan,ahmed.hassan@msu.edu,Crop Science,Wheat Yield Optimization Under Climate Stress,91000,2024-07-01,2026-06-30,Michigan State University
ABR-2024-014,Dr. Nina Patel,nina.patel@msu.edu,Food Science,Plant-Based Protein Extraction Methods,63000,2024-09-01,2026-08-31,Michigan State University
ABR-2024-015,Dr. Robert Kim,robert.kim@msu.edu,AgBioResearch,Smart Irrigation Systems for Row Crops,110000,2024-06-15,2027-06-14,Michigan State University
ABR-2024-016,Dr. Fatima Ali,fatima.ali@msu.edu,Plant Biology,CRISPR Applications in Soybean Disease Resistance,85000,2024-07-01,2026-06-30,Michigan State University
ABR-2024-018,Dr. Yuki Tanaka,yuki.tanaka@msu.edu,Soil Science,Microplastic Contamination in Farmland,58000,2024-09-01,2025-08-31,Michigan State University
